"customer_id","first_name","last_name"
2,"Patricia","Johnson"
3,"Linda","Williams"
12,"Nancy","Thomas"
13,"Karen","Jackson"
21,"Michelle","Clark"
29,"Angela","Hernandez"
33,"Anna","Hill"
45,"Janet","Phillips"
49,"Joyce","Edwards"
50,"Diane","Collins"
54,"Teresa","Rogers"
76,"Irene","Price"
78,"Lori","Wood"
86,"Jacqueline","Long"
87,"Wanda","Patterson"
114,"Grace","Ellis"
116,"Victoria","Gibson"
127,"Elaine","Stevens"
129,"Carrie","Porter"
136,"Anita","Morales"
140,"Eva","Ramos"
148,"Eleanor","Hunt"
149,"Valerie","Black"
163,"Cathy","Spencer"
168,"Regina","Berry"
178,"Marion","Snyder"
187,"Brittany","Riley"
195,"Vanessa","Sims"
196,"Alma","Austin"
200,"Jeanne","Lawson"
203,"Tara","Ryan"
204,"Rosemary","Schmidt"
206,"Terri","Vasquez"
212,"Wilma","Richards"
220,"Charlene","Alvarez"
221,"Bessie","Morrison"
232,"Constance","Reid"
237,"Tanya","Gilbert"
245,"Courtney","Day"
259,"Lena","Jensen"
260,"Christy","Vargas"
272,"Kay","Caldwell"
277,"Olga","Jimenez"
292,"Misty","Lambert"
297,"Sherri","Rhodes"
300,"John","Farnsworth"
301,"Robert","Baughman"
307,"Joseph","Joy"
310,"Daniel","Cabral"
331,"Eric","Robert"
333,"Andrew","Purdy"
336,"Joshua","Mark"
345,"Carl","Artis"
347,"Ryan","Salisbury"
362,"Nicholas","Barfield"
364,"Benjamin","Varney"
367,"Adam","Gooch"
371,"Billy","Poulin"
372,"Steve","Mackenzie"
377,"Howard","Fortner"
380,"Russell","Brinson"
388,"Craig","Morrell"
404,"Stanley","Scroggins"
410,"Curtis","Irby"
414,"Vincent","Ralston"
418,"Jeff","East"
420,"Jacob","Lance"
426,"Bradley","Motley"
434,"Eddie","Tomlin"
441,"Mario","Cheatham"
448,"Miguel","Betancourt"
457,"Bill","Gavin"
459,"Tommy","Collazo"
460,"Leon","Bostic"
468,"Tim","Cary"
469,"Wesley","Bull"
470,"Gordon","Allard"
477,"Dan","Paine"
481,"Herman","Devore"
511,"Chester","Benner"
516,"Elmer","Noe"
520,"Mitchell","Westmoreland"
526,"Karl","Seal"
529,"Erik","Guillen"
531,"Jamie","Waugh"
542,"Lonnie","Tirado"
544,"Cody","Nolen"
545,"Julio","Noland"
550,"Guy","Brownlee"
558,"Jimmie","Eggleston"
561,"Ian","Still"
562,"Wallace","Slone"
564,"Bob","Pfeiffer"
565,"Jaime","Nettles"
567,"Alfredo","Mcadams"
571,"Johnnie","Chisholm"
572,"Sidney","Burleson"
573,"Byron","Box"
591,"Kent","Arsenault"
592,"Terrance","Roush"
595,"Terrence","Gunderson"
